id	tweet	subtask_a
33559	iki güzel söze yapılan hatayı unutma kerizliğimden nasıl kurtulabilirim	NOT
21134	bunu yapan birine 200 tl veririm	NOT
10906	benden başka herkese iyi geceler	NOT
35942	yakın yanlış sınırın öbür tarafı . pasaportla geçiliyor	NOT
45435	2 yıl önce hayatımın aşkını bulmuşta kaybetmiş gibiyim	NOT
33110	biz suriyede abdnin kara ordusu ppkpyd ile savaştık siz karşı çıktınız abd chpkk yi devşirdi	OFF
45877	ben boğayım . demek oluyor ki burçlarla ilgili böyle istatistiklere güvenmeyin .	NOT
20138	vatan severliğin ölçüsünü de belirtseler ona göre davranılsa	NOT
28713	milliyetçi geçinip , mafyanın ve derin devletin önüne koydular bu şehri ve ülkeyi ... bu şehir girdap	NOT
26882	yöneticileri olan kulüp daha iyi nasıl yönetilene bilinir ki ?	OFF
14668	mhp bu ülkenin çimentosudur ... bunu bilen devlet düşmanı hainler ülkücü gençleri devlete küstürmek için ile binlerce polisi perişan etti ama küsmedik devlet baki olsun ... kumpas düzelir elbet	OFF
26715	gol atacak forvet yok forvet kim gol atacak ben anlamıyorum .	NOT
15499	okuma oranın çok düşük olduğu ve gündemi a haberden takip eden kitleye . . küfür etseydin daha iyiydi .	OFF
30936	fedakarlık , cesaret ve inanç . . o gün onlar orada olduğu için bugün biz buradayız ! başta ulu önder mustafa kemal atatürk olmak üzere vatanı için gözünü kırpmadan canını ortaya koyan bütün şehitlerimizin ruhları şad olsun .	NOT
23667	nasıl olsa ölünülecek ama allah son nefeste iman selâmeti nasip eylesin . ne diyelim .	NOT
15981	öyle bir mutlulukla izliyorum ki her konuşmanı . böyle bilgili , mantıklı bir insanın konuşabilmesi bile artık mutlu olmamıza yetiyor . umudumuzu getirdin , ülkemize daha cb olmadan huzuru getirmeye başladın . çok seviliyorsun çok	NOT
38440	170 boyundayım aq ya nasıl kurayım böyle halay	OFF
35624	cool görüneceğim diye kanser bile olursunuz	NOT
13652	çok zor , önce helallik almanız lazım ...	NOT
31257	hepimizin psikolojisi bozuk çok azımız bunun farkında	NOT
31435	iyi akşamlar sevgili arkadaşlar . k . maraş yaşım 36 kaliteli ve seviyeli ve unutulmaz anlar yaşamak isterseniz ben buradayım evli çiftler tek bayan veya pasif gayler . 853 442 82 63	NOT
42306	diyorsunuz ama yaşayan ölüler mezardaki ölülerden daha gizemlidirler konuşamazlar arkeologlarda çaresiz kalıyor yaşayanlara karşı	NOT
29561	size favlamakdan parmak uçlarım şişti yeminle , hesaplarıma göre şu an bir çoğunuzun kalbini çalmış olmam lazım . .	NOT
17007	gökyüzüne bakmayanların kalbi daha çabuk kirlenir ,	NOT
29226	bu devletin önünde sonunda yıkılması kaçınılmaz . daha doğrusu eyaletler aynen sscb'deki gibi ayrışır diye tahmin ediyorum . zaten şu anda sorsanız , federal devletten kopacak eyaletler bile var . +	NOT
41428	üşüyüp babamın ceketini aldım annem baban üşür diyor evladından çok kocasını düşünen bir kadın annem gibi kocamı sevmek mi allahım nasip et	NOT
45226	‘ ’ pek çok şeyin bambaşka olmasını isterdim . ’ ’	NOT
19823	analizin sonucunu bizimle de paylaşırsınız diyorum .	NOT
30222	anam yarın göndeririz para diyip telefonlarımı açmadı . bu dünyada kimseye güvenmeyeceksin ağa .	NOT
33515	sen ne yumoş bişeksin acaba ekranı mincirasım geldi bts	NOT
22547	müslüm baba kutsaldır galatasaraylı için	NOT
34419	oruçluyum zaman geçsin istiyorum ama haftasonu bitiyor onu da istemiyorum rabbim	NOT
14035	kendisine allah'tan rahmet kederli ailesi ve yakınlarına başsağlığı ve sabırlar dileriz .	NOT
34460	mantıklı bir bakış açısı . deneyeceğim muhakkak . bazen söz dinlemek ve denemek iyidir ve bir şey kaybettirmez bence .	NOT
32251	günaydın ne sağlık kaldı ne huzur versinler artık yavrularımızı neden duymadan görmezden geliyorlar bekliyoruz sabırla ama oda bir yere kadar tükendik artık rabbim içlerine merhamet versin düşmez kalkmaz bir allahtır buğuñlerde geçer elbet	NOT
44048	o imza parası diye el altından verdiğin parayı bonservis olarak versen %40'i gençlerbirliğine gidecek . oyuncu kulübe siz oyuncuya verip hep bir çakallık peşindesiniz . gençlerbirliği zararı karşılanmazsa fıfa'da her türlü davayı kazanırlar .	OFF
41518	söyleyen carnewa’dan serhat değil mi	NOT
12376	batı esadı gerçekten durdurmak isteseydi , bu teknolojiyle çoktan bulunur yok edilirdi . anlamamak için keriz olmak lazım . esad suriyeyi parçalamak için kendileri tarafından bizzat görevlendirilmiş . bu çağın işgal metodu , " bir ülkenin içinden birilerini bul böl parçala +	OFF
10222	hahahahahah kısık ses ve ağır bir konuşmayla “ ananı sikeyim o dakikada gol yenir ” hahahaahaahahh	OFF
16786	her otokraside olduğu gibi rus otokrasisinde de klasik yolsuzluk çarkı işlemiş ve bir bataklığa stand kurmuşlar . tabi stalingradın her yani kutsal olunca başka yer bulamamışlardır .	NOT
31534	her seçimde izmiri alıyorsunuz ama hiç bir siyaset değişmedi senin yalanların hariç seçimden sonra gene hükümeti karalamaya devam edeceksin	OFF
43542	severek ayrılalımmm aşka hasret kalalımmm eğer mutlu olursak yeniden ayrılalımmm	NOT
44474	zaman varsa oyun bitmemiş demektir	NOT
44528	hayatımda kimse olmamasının hafifliği ... bunu o kadar özlemişim ki omuzlarımı öpüyorum ikide bir	NOT
11868	netlerin arttığını görmek mi daha iç açıcı yoksa senin gülüşünü görmek mi ?	NOT
21252	başkanaffa yeşil ışıkyaktı insanlar ceza evinde tuvalet önlerinde yatıyor bu hiç adil değil ceza evleri doldu taştı artık af gerekli	NOT
42411	bin odalı şarayım olsa'da tatile çıkamadım diye ağlasam :) ) ) ) ) ) ) ) ) )	NOT
23942	" innallahe hüner - rezzâku gül - Kuvvet'iz - metin " “ şüphesiz ki rızıklandıran , güç ve kuvvet sahibi olan allah'tır . ” ( zâriyât suresi / 58 )	NOT
42210	gün geçmiyor ki amk ülkesinde düzgün bir haber alalım toplu taşıma araçlarını milyonlarca kadın kullanıyor hergün ve böyle orospu çocuklarını caydırıcı cezalar vermeyip saldığınız sürece ülkede bu tarz olayları hep göreceğiz maalesef	OFF
40557	bitirmek için kendimi en çok zorladığım kitaptı :(	NOT
22376	zamanda o on mirasçısı yapılmaktadır .	NOT
14056	size kalsa neler neler yapacaksınız da , allah'tan size kalmıyor ve kalmayacakta . yücetürk halkı iyicene tanıdı size	OFF
41692	diğer penaltıları da paylaşıp de bunu	NOT
11203	keşke kedi olsaydım etrafta miyav miyav diye gezerdim eski sevgili konusunda akıl vermek zorunda kalmazdım miyav	NOT
31781	içimizdeki herkese bu ülke için , başkan receptayyip erdoğanın aşkından ve azminden diliyorum . bu ülke her şeye rağmen şaha kalkacak biliyorum !	NOT
39519	herkes ışığı kendine göre görüyor , ben orada ışık ışık görmedim	NOT
32087	hesaplama yöntemi veya mantığı nedir hocam	NOT
14781	israil katlediyor diyorlar israille anlaşma yapıyorlar , verilen önergeyi reddediyorlar . her sene israille yapılan ticaret artıyor her sene filistin için sözde danışıklı dövüş yapıyorlar . fetöyü abd'den alacağız diyorlar incirliği kapatamıyorlar . abdye yaptırım uygulayamıyorlar .	OFF
18287	hayatıma dair hep yanlış kararlar veriyorum	NOT
41920	iyi sallamışsınız . bugün başlayacak hangi memur bu parayı alıyormuş ? bilmeyenleri kandırırsınız ancak . yaptığınız hesaplama emekli olmak üzere olan eş ve çocuk yardımı alan ocak ayı maaşı .	NOT
34900	yapılan iyilikleri unutacak kadar nankör olmayı nasıl kendinize yediriyorsunuz ?	OFF
17426	pencereden olgun bir beyefendiye kur yapmak . . wucu yeminle ayaklarım titriyor heyecandan	NOT
25604	var evet çünkü biz muhteşem insanlarız	NOT
10871	doğru söylüyorsunuz recep bey . katılıyorum size . sevgi ve saygılarımla	NOT
13470	adamları düşürün lige çıkınca da tebrik edin şerefsizler . bem de buradan size bir kez daha tebrik etmek istiyorum 2010-2011 sezonu 2. si olarak	OFF
18167	sanırım bu kez the end yaa	NOT
41600	siyasal islamcılar ders almazlar . yahu çağlarcılara cılara ! allahuekber diyerek , kelimei şahadet getirenlerin kafasını kesenler den ne bekliyorsun ?	OFF
20985	uyanın arkadaşım . maç var bugün ! !	NOT
33293	cüneyt bey ben eminim artık ekonomik sorunlar siyasi sorunların ardında saklanıyor . devekuşu kum misali . yalnız yazınızı okurken bilirkişi gibi bahsettiğiniz fon yöneticisi yerine sizin şunlar bunlar olacak diyerek daha çok ses getirmenizi istiyorum basit bir vatandaş olarak .	NOT
14673	sosyal hayat benden uzaklaşmıyor istesem bile :) anladım seni kuzum . ikna edebildiğim kadar mutluyum ve paylaşıyorum .	NOT
43886	allahım biri bana sweatshirt hediye etsin amin ‍♀️	NOT
32664	ilim yolunda öleceğim ha şimdi şuracıkta çalışma masasının üstünde	NOT
19271	bir gün gelecek biriniz bile kalmayana kadar mücadeleye devam kokunuzu kurutacağız ! !	OFF
31488	almanya'da , japonya'da böyle bir merak yok . onlar beyin kalitesine bakıyor . bizde gençlik lay lay lam	NOT
10739	kadir gecesi haricinde kandil kutlamak güzel bir gelenekte o düstura göre yaşayan değiliz yapmacık oluyor yani	NOT
20247	yalnızlikbu dünyanın en eski asaletidir ,	NOT
25710	bu saydıklarınızı sosyal devlet yapmakla yükümlü zaten yapmak zorunda ki çoğunu da yapmıyor , benden alıyor sana veriyor , son zenginden daha zengin ben fakirken daha fakir olay bu , kendiliğinizden yaptığınız bir yardım var mı acaba ?	NOT
18639	kendilerini süleymancı olarak atfeden fatihaları tecvit bahanesiyle yanlış okuyan imamlar denetlensin bunları hangi dış güçler yönetiyor araştırılsın	NOT
19336	artık hayata karşı inancımı kaybetmiş bulunmaktayım k and ir il d ik	NOT
18398	twitter yüzünden hep yemeğimin dibi tutuyor aksjdhshh	NOT
17892	evladımız , eşimiz hapse girmesin diye analar , bacılar , yeni eşler tüm aile seferber olmuş başka bir kadının nafakasını temin etmeye çalışıyor . ki o ana belki yemeyip yedirip , giymeyip giydirip o evladı o güne getirdi . bir gün olsun o elin kadınının yediği gibi maaşını yemedi .	NOT
36325	ne evli çifti lan orospu ve pezevenklerin macun dalgasına bir sürü çakma hesapla tokata çıktığı bir video yavşak sende bunları yayınlayıp prim yaptırıyorsun bir siktirin gitmediniz şu twitterdan amk götleri	OFF
26089	görsel hafıza ile ilgili herhalde	NOT
10275	orta sınıf delinen burjuvadır , diyarbakırda burjuva var mı ? yok , bu orta sınıf falan değil , kürt hamiyetine sahip bir kitle var ve bu gözardı ediliyor	NOT
19859	yanlışı doğrusu eksiği fazlasıyla kaldın içimde boşverdim aşkımı , yemin ettim değişemem beni anla	NOT
39257	kabus ayrı . ama herkes onun haham olduğunu bilir ve hani derlerya yahudi gibi düzgün ticaret yapmak hahha işte kimse onlara uyanıklık yapamaz . fiyatına kimse itiraz etmez .	NOT
10289	en kötü gün bugünse bugün de beşiktaş	NOT
38234	hastaneye emniyette değil bu saatten sonra	NOT
12844	suratıma maya maskesi yaptım ekmek gibi dolaşıyorum ya .	NOT
22451	hayatımın en az altı ayını japonya'nın bir köyünde geçirmek istiyorum . bol çiçekli bir köy olması kriterler arasında . yüksek tepelere tırmanmak , gelenek ve kadim bilgilerini öğrenmek . bir iki japon arkadaş edinmek	NOT
31541	aleyküm selam ve rahmetullah ve berekatühü hayırlı akşamlar olsun	NOT
19803	allah belanı versin iş yerinde açtım bütün ofis bana bakıyor	OFF
18194	hocam boş kaleye atayım ben pası :) yumurtaya değil tavuğa yatırım yapmak varmış	NOT
11568	" hiç kimseyi yalan söylediğini anlayacak kadar tanımak istemiyorum . "	NOT
25657	10 parmağın 10 u da bir değildir bunu da unutma	NOT
15308	ayrıca anlanman beni öldürdü gogo ağlıyor şu an mükemmeldi	NOT
10298	güzel şeyler olsun istiyorsan ben seni sikeyim	OFF
30516	çok da değil yani hepsi aynı trt	OFF
36448	temmuz gelsin bari mq dünyası	NOT
31148	sizinki fesli kadir mi belgelerle gerçek tarihlerden mi benimle tartışamazsın seni gömerim bugüne kadar hiçbir akp li benimle tarihi tartışamadı bence sen bunu zaten yapamazsın	OFF
37385	, sen kadar sürükleyici ve bir o kadar da sinir sistemimi alt üst eden bir dizi yok . ! seni seviyor muyum ? nefret mi ediyorum bilmiyorum !	NOT
27388	ciddi ciddi yeni şarkı salıyorlar ağlıysam	NOT
43005	1 yıl boyunca maaş almasınlar . madem devlette para yok . zenginler nasıl olsa . ben hiç fakir fukara bir bakan milletvekili ile karşılaşmadım .	NOT
18018	ronaldo juventus'a gitmiş . dünya futbol tarihi bu kadar ahmakça bir tercihe aynı zamanda bu kadar da büyük bir meydan okumaya şahit olmamıştır .	NOT
35425	her seride bir hayır vardır dediklerinin tezahürümü gerçekleşecek acaba ?	NOT
13626	günaydın bugün yine iyi ki galatasaraylıyım diyerek uyandım , mutluyum	NOT
37992	iyi ile kötünün mücadelesi hiç bir zaman bitmeyecektir . eğer birgün bittiğini görürseniz bilin ki kıyamet kopmuştur . bu bilinçle hareket etmeli , zafer odaklı değil , sefer odaklı planlar yapılmalı . biz allah'tan neticenin değil , emeğimizin karşılığını alacağız .	NOT
29593	efendi ve iyi bir insan olmak hiçbir zaman prim etmedi iyiler hep kaybeder	NOT
11041	hiç hak etmediğimiz şeyleri yaşattılar , affedene yazıklar olsun .	NOT
40968	- da önümüzdeki dönemde büyük alt , üstyapı projeleri olacağını duyurdu başkan - firmaları da kara yolu , metro , ynlnblr enerji , tarım gibi çok sektörde başarılı projelere imza attı . önümüzdeki dönemin ilişkilerinde dönüm noktası olabileceğine inanıyorum	NOT
38055	nasıl bu kadar kaba olabiliyorlar ? uzaydan gelen savaşçı sayborg gibiler	OFF
20485	burada yenersek istanbulda kan küstürürüz .	NOT
33706	bahsettiğiniz iki insanda hetero değil amk hajslddldldodldodmdkdms bana bir gülme geldi	OFF
26417	her türlü imtihana hazırım da rabbim bizleri evlatlarımızla sınılamasın abim , çok ağır	NOT
40837	telefonumda şifre var ama şifreyi herkes biliyor çok saçma	NOT
22531	hayat bu yakın sandığınla arana yüzyıllarca mesafe koyar . uzak gördüğünle aranda bir nefeslik an var . hiç bir şehir uzak değil , anlamayan birine ulaşmak kadar ve hiç bir yer yakın değil anlık bir ölüm kadar ...	NOT
30916	bir insan uyurken nasıl tırnağını kırabilir açıklayın bana ya	NOT
41771	birde akp de bedava para alanları konuşsanız . bankamatikçileri . yolsuzlukları . helal dürüst . adamsınız diyeceğim . ama . o karakter sizde göremiyorum . onun için kalpazan siniz	OFF
13042	not : kimseye kendinize verdiğiniz değerden daha fazla değer vermeyin .	NOT
31611	bizi bölme taraftarı değiliz biz akpyi tara mar etmeye and içtik yemin etik terklerle bin yılık beraberliğimiz var bu birlik beraberliğimiz senin saltanatına kurban etmiyeceģiz kart terk birlikte seni anavatan partisi gibi tarih còplùģùne gùmeceģiz bir nişan súprizi yapacģiz	OFF
16309	taşın üstünde uyuyacaksın deseler , niye diye sorgulamadan direk kıvrılır yatarım	NOT
22582	ben katılmıyorum , ali koç daha düzgün , daha zengin , daha genç , daha yakışıklı olabilir ama aziz yıldırım kriz ortamını ve daha kötü durumlar da daha zeki , ve daha tecrübeli bence ... . müdür	NOT
16010	sen artık hepimizin baş tacısın	NOT
37607	hayırlı sabahlar olsun inşallah cümlemize	NOT
24079	insan derdine kadar koyarmış rakıyı yoksa anininiz bir duble rakının ağzındaaa küçük küçük gözyaşları bırakın masanın bir kenarına	NOT
20727	sen İzmir’deki kar , ankaradaki denizsin bana . yoksun ! ama olsan , çok güzel olursun .	NOT
37930	güzel ama ömrü kısa , önder ? şans getiren ve çok çift değil ...	NOT
26581	dünyada ne çok acı var . hepsini hissediyorum bazen . gülmeye utandığım zamanlar var .	NOT
41022	canım çok üzülüyorum sana beni zorla kaybettiğin için	NOT
28301	neyse biraz da yüzü koyun uyumaya çalışayım belki nefessiz kalıp geberirim amk .	OFF
39484	bayern maçında o ilk gol ofsayt değil miydi ? o gol olmasa , kırmızı görmeseydik ne olurdu ?	NOT
34401	sen kimin yanında olduğunu hangi dayanaklara görebiliyorsun biliyorsun ?	NOT
14703	kendi faziletinden çalıyor da farkında değil :( üstelik merkantilistlere göre oruç yasaklanmalıdır .	OFF
34613	kapıyıtut , kapitut , kaput , kaput , kaput , kaput , haydar . haydar ismi buradan gelir .	OFF
35826	ben kadın değil miyim lan ? yok bende yok	NOT
23793	halkımız bilmeli ki sinop ' ta kesilen ağaçlar yalnız sinop'un değil tüm ülkenin karadenizimiz yeşilliği , havası suyu güzelliğimiz , ciğerimiz vatanımız , bugün cebinde aldığın 3-5 kuruşa bunları değişirsen yarın torunların orada nefes alamayacak	NOT
24845	rahat bırakın be artık şu adamı	NOT
37968	dünyadaki tüm kötüler birleşse , zarar veremez sana iyi bildiğin insanlar kadar ... .	NOT
25603	ulan var ya hiçbir şey hissetmediğimi hissediyorum bu aralar	NOT
33171	sevgisiz olun ama saygısız olmayın	NOT
21031	iyi geceler . üzüntünün arkasından gelen sayın sevinç kendi kendine ağlamayı nasıl da bilir .	NOT
17572	oyalama siyaseti yapmaktan bıkmadınız mı . aylardır öldük bittik . yapmayacağınız sözler neden verirsiniz . bugüne kadar atama olacak deyip yapmayan kimse olmadı sizden başka . atama olması zerre umurunuzda değil . nasıl olsa sizin koltuk şimdilik sağlam . adalet mi bu	NOT
39217	zaman benim adım kaynana ben bozarım ndjdjfjfj	NOT
14082	güzel bir laf gibi ama anlamadım	NOT
45546	tu pir hürü kur diaxivî ez ji te fêm nakım . a bas em çatır ji hıv bixwazın :)	NOT
13448	hocam kusura bakma güldüm ama çok komik bir zincirleme olmuş neyse , geçmiş olsun diyelim	NOT
23837	sen bunu farkında bile olmadan sürekli yapıyorsun canımın içi	NOT
31899	her tweete yorum yapıyorum çünkü sıkılıyorum mesaj atın diye dedim kızlar bende görüldü yeme fobisi var	NOT
37578	biliyorsunuz ki geçen sefer çok küçük bir fark ile kaybetmiştik ve bu sefer de alamazsak bu comeback için pek bir şansımız kalmayacak daha . lütfen birkaç dakikanızı ayırıp oy verin	NOT
15500	tamam be ; sezon bitti zaten . artık edebiyat kasabilirim	NOT
30424	valbuena valbuena dedik adamın girdiğiyle çıktığı bir oldu bravo cenabet fener tayfa	OFF
16219	her maç aynı terane , hepsi de rakipler lehine . . bu ilk çeyrek sonundaki basket & faulü nba'de bile çalmazlar . tekrar söylüyorum , hakemlerin işi güç dengesizliğini ortadan kaldırmaya çalışmak değil . en acemisinden en kıdemlisine hepsi aynı .	NOT
38177	abi destek lütfen ya askıya alınıyor hesabım	NOT
36290	özümüze döndükçe kazanıp yükseliyoruz bu millet her daim inancından güç alarak yükselmiştir onun için önce inançlarımıza saldırdılar	NOT
13957	çok sevindim komutanım . allahın izniyle milletin meclisine millet aklı ile gideceksiniz ...	NOT
36300	çok güzel eleman ya . sevdiği projede çok az paracağıza oynuyormuş .	NOT
20372	off ... çok sonsuz bir şükür oldu buu .	NOT
16763	lise ve üniversite gençliği olan bitenin farkında değil . etrafımdaki gençlerin hemen hepsi yanlış düşünüyor . konforun ortasında doğup büyüdüler . kulağa hoş gelen ' devrim özgürlük değişim ... ' gibi kelimelerin ardına düşmüşler . erdoğan'ın gerçek devrimci olduğunu bilmeden !	NOT
42618	kullanmadığın netin ücretini sizden tahsil edemez sağlayıcı firmanıza forum doldurup fax çekin uyarın 14 iş günü içinde çözüm sağlayıp dönüş yapmıyorlarsa btk ya şikayet edin sonuç alamazsan tüketici mahkemesine dava açın vazgeçmesenize hakkınızı sonuna kadar arayın	NOT
39512	bir şey deyi görevimiz birbirimize kenetlenmek derlerya birlikte güç doğar heval	NOT
44793	birgül hoca geldi gözümün önüne	NOT
15845	formayı ben yaptım falan diyor aklsjsgaklsjalsskgasjklğas	NOT
17391	akpnin gidebilmesi için iyi parti chp gibi muhalefeti olmayı bilmeyen bir partiyi yanına almasıyla iktidar olma şansını kaybetti ! önümüzdeki 5 yılda çizeceği muhalif tavırla kendisini doğru bir şekilde tanıtırsa 7 ayda %10 almış iyi parti 2023 de iktidarın en büyük adayı olur	NOT
31596	hmm herhangi bir moomoo blackpink in dış görünüşlerine , danslarına , seslerine laf etmedi	NOT
13164	erkenden evlenen koca meraklıları hariç herkese günaydın	NOT
29707	ırkçılık yaptım abi . teröriste terörist diyip bir de çirkin bunlar deyince şey oldu :)	NOT
34430	bu inancın bu hakkın altında başka sebepler bulanık amk sizi seviyoruz herşeyim	OFF
25560	sizin yiğithan'ın trabzondaki maçta uğurcana yaptığı hareketi hatırlıyor musun ? onun yaptığına laf ettiysen tebrik ederim seni	NOT
22134	yok hiç sanmam sen konuşurken gördülerse demek ... . az sussan sorun hallolur bence :)	NOT
43390	bu saatlerde canım çok pis balkon havası çekiyor böyle oturup müzik dinlemektir ama yemek vaktidir çoluk çocuk bekler	NOT
30084	gerçekten sinirleniyorum lan , ben neyinim senin dilediğinde arayıp kendisini rahatlatabileceğin kişisel psikoloğun mu amk çıldıracağım öyle olsam bile arkadaşımı dinle ne demek b an an e arkadaşından	OFF
42193	yüksel bey size daha önce bir soru sormuştum bu konuları iyi bildiğiniz için müsaitseniz tekrar sorabilir miyim ?	NOT
17120	zengin ile yoksul arasındaki uçurum gittikçe büyüyor . herkes düşünceye düşman . insan seçmiyor artık . her teklifi kabule razı ; yeter ki bu teklif ona insanlığını unutturabilsin .	NOT
44315	nuh diyor peygamber demiyor halbuki bilmiyor kerizler nuhta bir peygamber değil mi ?	OFF
32611	halay başı olmanın verdiği mutluluğu vermeyen şeyler var hayatta	NOT
44379	kardeşim ben ne yapayım 5 s kullanan biri olarak ...	NOT
32189	bence de hırsıza yolsuza rum’a bizansa gavura kafire haine fetöye piçe orospu çocuklarına vermek varken , hakka halka hizmet de ne ki ? seni gidi kripto rum sana ... @ekrem_ımamoğlu bu adamın rum olduğunu herkesin bilmesi lazım , kime oy verdi bizim gerizekalı beyinsizler , bilsinler !	OFF
20483	akşam dışarı çıkarken haber vereyim mi diye kendi kendisine teklif edip sonra beni unutan adam rakıya gitmiş , dönerken haber vereyim mi dedi olur dedim ; uyuyacağım birazdan . yemezler aslan .	NOT
37784	son camları sil sen şekilli şekilli şeyler yaparım	NOT
35229	bakan albayrak çalışma meclisi toplantısında emrah serbes'e nihat özdemir gölgelerin merih demiral sayın avcı ivme	NOT
18382	kalitesiz ürünlere fahiş fiyatlar sunmaktan vazgeçin artık . . bir dünya para verip aldığımız ürünler 2-3 yıkamada perişan oluyor ! tasarımlar zaten berbat . . dünyanın en güzel iki rengine sahip olup bunu kullanamamak tam anlamıyla komedi ...	NOT
29004	' helikopter kazası ' duyunca aklıma ilk muhsin yazıcıoğlu gelir . ona ve şehit düşen askerlerimize allah'tan rahmet , yakınlarına , türk silahlı kuvvetlerine ve milletimize başsağlığı dilerim .	NOT
14390	peki o saray niye sp ye dp ye ve vatan partisine izin verdi onu da söyle o zaman onları 20 vekilimi vae	NOT
38515	ben telefonla konuşmaya tahammül edemezken insanları görüntülü konuşuyor	NOT
33165	günaydın , bu hafta piyasalar açısından perşembe günü tcmb faiz kararı açıklanacak sizce karar ne yönde olacaktır ?	NOT
12646	sayın vekilim bey siz olayı gerçekten çok yanlış anlamışsınız bunu 23 nisan için söylemişti esasında	NOT
30895	" kendime sözümdür ; bir daha yüzüme kapanan hiçbir kapının arasına elimi koymayacağım . "	NOT
30155	kızlar cidden bazılarınız çok güzel seviliyor ama kıymetini bilmiyorsunuz	NOT
11004	çok kötü inşallah kimseye bir şey olmamıştır .	NOT
21891	haketmediğin anlamına gelmez ben etmiyorsam o küfür	NOT
39246	ayrılmaya çalışırım bunu yapamam karşı tarafa	NOT
35470	insan kafasını taşa vurduğunda ve keşke dediği zaman anlıyor zamanın çoktan geçtiğini	NOT
29917	sonlardan başlattı ki %10 Luck kayma oldu . . sonra zaten insanlar sandıkları görevliler bıraktı . . ıslak imza falan önemli değil tv de yazılan herkes önemsiyor tv de ne yazıyorsa o . . aa ne çıkarıyorsa o . . mhp ye ayarladılar . . cihan haber ajansı ondan sildiler . .	OFF
34366	ikisini ayıran şey nedir ? erkekler eşleri olmayan kadınlarla konuşamaz . erkekler eşleri olmayan kadınlarla konuşmak zorundadır . ikisi arasında fark yokken sizin dünya görüşlerinize uyana bravo , uymayana tu kaka mı diyorsunuz ?	NOT
24364	ne demek efendim senin sözünü dinlemek benim işim	NOT
42062	ona sanki baya bir zaman var kardeşim be , olacak da çok erken daha	NOT
33074	bunu bir bahçeliye soralım obi ebcet üzerinden hesap yapsın bakalım ne çıkacak ortaya . ️	OFF
21056	ensar roque . . ciddiye bile almayacağım sen ötede konuşmaya devam et .	OFF
